b,DRXFCSD,DRXFCLD
11710639,"b'INFANT FORMULA, ENFAMIL INFANT, POWDER, MADE WITH BABY WATER'","b'Infant formula, Enfamil Infant, powder, made with baby water'"
11710661,"b'INFANT FORMULA, ENFAMIL AR, READY-TO-FEED'","b'Infant formula, Enfamil AR, ready-to-feed'"
11710669,"b'INFANT FORMULA, ENFAMIL AR, POWDER, MADE WITH WATER'","b'Infant formula, Enfamil AR, powder, made with water'"
11710671,"b'INFANT FORMULA, ENFAMIL GENTLEASE, READY-TO-FEED'","b'Infant formula, Enfamil Gentlease, ready-to-feed'"
11710677,"b'INFANT FORMULA, ENFAMIL GENTLEASE, POWDER, MADE WITH TAP WAT'","b'Infant formula, Enfamil Gentlease, powder, made with tap water'"
11710678,"b'INFANT FORMULA, ENFAMIL GENTLEASE, POWDER, MADE WITH BOTTLED'","b'Infant formula, Enfamil Gentlease, powder, made with bottled water'"
11710679,"b'INFANT FORMULA, ENFAMIL GENTLEASE, POWDER, MADE WITH BABY WA'","b'Infant formula, Enfamil Gentlease, powder, made with baby water'"
11710689,"b'TODDLER FORMULA, ENFAMIL ENFAGROW'","b'Toddler formula, Enfamil Enfagrow'"
11710801,"b'TODDLER FORMULA, PEDIASURE'","b'Toddler formula, PediaSure'"
11710807,"b'TODDLER FORMULA, NIDO KINDER'","b'Toddler formula, Nido Kinder'"
11710810,"b'TODDLER FORMULA, STORE BRAND, BEGINNING OR NEXT STAGE'","b'Toddler formula, store brand, beginning or next stage'"
11710815,"b'TODDLER FORMULA, STORE BRAND, PEDIATRIC SHAKE'","b'Toddler formula, store brand, pediatric shake'"
11710905,"b'INFANT FORMULA, GERBER, NFS'","b'Infant formula, Gerber, NFS'"
11710911,"b'INFANT FORMULA, GERBER GOOD START GENTLE, STAGE 1, READY-TO-'","b'Infant formula, Gerber Good Start Gentle, Stage 1, ready-to-feed'"
11710917,"b'INFANT FORMULA, GERBER GOOD START GENTLE, STAGE 1, POWDER, M'","b'Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with tap water'"
11710918,"b'INFANT FORMULA, GERBER GOOD START GENTLE, STAGE 1, POWDER, M'","b'Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with bottled water'"
11710919,"b'INFANT FORMULA, GERBER GOOD START GENTLE, STAGE 1, POWDER, M'","b'Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with baby water'"
11710921,"b'INFANT FORMULA, GERBER GOOD START GENTLE, STAGE 2'","b'Infant formula, Gerber Good Start Gentle, Stage 2'"
11710930,"b'TODDLER FORMULA, GERBER GOOD START, STAGE 3'","b'Toddler formula, Gerber Good Start, Stage 3'"
11710935,"b'INFANT FORMULA, PREMATURE, POWDER, MADE WITH WATER'","b'Infant formula, premature, powder, made with water'"
11710945,"b'INFANT FORMULA, PREMATURE, READY-TO-FEED'","b'Infant formula, premature, ready-to-feed'"
11710954,"b'INFANT FORMULA, ORGANIC, POWDER, MADE WITH WATER'","b'Infant formula, organic, powder, made with water'"
